timestamp,thread,type,activity,pid,ttl,raw_message,process,subsystem,tags,message
2026-06-22 19:00:19.727566+00:00,0x17b458a,Default,0x0,418,0,"WindowServer: (HSTouchHIDService) [com.apple.Multitouch:Plugin] [TP] Dispatching digitizer event with 2 children, _eventMask=0x23 _childEventMask=0x22 Cancel=0 Touching=1 inRange=1",WindowServer,['HSTouchHIDService'],"['com.apple.Multitouch:Plugin', 'TP']","Dispatching digitizer event with 2 children, _eventMask=0x23 _childEventMask=0x22 Cancel=0 Touching=1 inRange=1"
2026-06-22 19:00:19.862505+00:00,0x17b5b03,Default,0x0,357,8,powerd: [com.apple.powerd:displayState] DesktopMode check on Battery 0,powerd,[],['com.apple.powerd:displayState'],DesktopMode check on Battery 0
2026-06-22 19:00:19.862875+00:00,0x17b5b03,Default,0x0,357,8,powerd: [com.apple.powerd:displayState] DesktopMode check on Battery 0,powerd,[],['com.apple.powerd:displayState'],DesktopMode check on Battery 0
2026-06-22 19:00:20.006890+00:00,0x17b0b92,Default,0x0,0,0,kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) IO80211PeerMonitor::checkForDPS()  Enter,kernel,"['com.apple.DriverKit-AppleBCMWLAN.dext', '']",[],IO80211PeerMonitor::checkForDPS  Enter
2026-06-22 19:00:20.007193+00:00,0x17b0b92,Default,0x0,0,0,kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) LQM-WiFi: BE : Count: 45 avgLatencyMs:2 maxLatencyMs:15,kernel,['com.apple.DriverKit-AppleBCMWLAN.dext'],[],LQM-WiFi: BE : Count: 45 avgLatencyMs:2 maxLatencyMs:15
2026-06-22 19:00:20.007204+00:00,0x17b0b92,Default,0x0,0,0,kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) LQM-WiFi: BK : Count: 0 avgLatencyMs:0 maxLatencyMs:0,kernel,['com.apple.DriverKit-AppleBCMWLAN.dext'],[],LQM-WiFi: BK : Count: 0 avgLatencyMs:0 maxLatencyMs:0
2026-06-22 19:00:20.007210+00:00,0x17b0b92,Default,0x0,0,0,kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) LQM-WiFi: VI : Count: 0 avgLatencyMs:0 maxLatencyMs:0,kernel,['com.apple.DriverKit-AppleBCMWLAN.dext'],[],LQM-WiFi: VI : Count: 0 avgLatencyMs:0 maxLatencyMs:0
2026-06-22 19:00:20.007220+00:00,0x17b0b92,Default,0x0,0,0,kernel: (com.apple.DriverKit-AppleBCMWLAN.dext) LQM-WiFi: VO : Count: 1 avgLatencyMs:2 maxLatencyMs:2,kernel,['com.apple.DriverKit-AppleBCMWLAN.dext'],[],LQM-WiFi: VO : Count: 1 avgLatencyMs:2 maxLatencyMs:2
2026-06-22 19:00:20.083506+00:00,0x17b58cb,Default,0x0,418,0,"WindowServer: (HSTouchHIDService) [com.apple.Multitouch:Plugin] [TP] Dispatching digitizer event with 2 children, _eventMask=0x42 _childEventMask=0x62 Cancel=0 Touching=0 inRange=1",WindowServer,['HSTouchHIDService'],"['com.apple.Multitouch:Plugin', 'TP']","Dispatching digitizer event with 2 children, _eventMask=0x42 _childEventMask=0x62 Cancel=0 Touching=0 inRange=1"
2026-06-22 19:00:20.089200+00:00,0xdfe,Default,0x0,418,7,WindowServer: (SkyLight) [com.apple.SkyLight:KeyboardEvent] [specialkey] - Exiting special key mode wildcard due client Dock request,WindowServer,['SkyLight'],"['com.apple.SkyLight:KeyboardEvent', 'specialkey']",- Exiting special key mode wildcard due client Dock request
2026-06-22 19:00:20.089794+00:00,0x17b4b9a,Default,0x0,666,5,ControlCenter: (ChronoKit) [com.apple.chrono:widgetPowerlog] Performing scheduled flush of powerlog view entries,ControlCenter,['ChronoKit'],['com.apple.chrono:widgetPowerlog'],Performing scheduled flush of powerlog view entries
2026-06-22 19:00:20.090086+00:00,0xdfe,Default,0x0,418,0,WindowServer: (SkyLight) [com.apple.SkyLight.processes:Focus] 49903[SetFrontProcess]: [DataSource] Making <private> 0x0-0x10ea0e9 the front process in session 0x186b6,WindowServer,['SkyLight'],"['com.apple.SkyLight.processes:Focus', 'SetFrontProcess', 'DataSource']",49903:  Making <private> 0x0-0x10ea0e9 the front process in session 0x186b6
2026-06-22 19:00:20.090250+00:00,0x17b58df,Default,0x0,387,0,launchservicesd: [com.apple.processmanager:front-35286506] SETFRONT: pid=88596 asn=0x-0x10ea0e9 foreground=1 oldFrontPid=6701 oldFrontASN=0x-0x19092020,launchservicesd,[],['com.apple.processmanager:front-35286506'],SETFRONT: pid=88596 asn=0x-0x10ea0e9 foreground=1 oldFrontPid=6701 oldFrontASN=0x-0x19092020
2026-06-22 19:00:20.090414+00:00,0x17b4b9a,Default,0x0,666,5,ControlCenter: (ChronoKit) [com.apple.chrono:widgetPowerlog] No powerlog view entries to flush.,ControlCenter,['ChronoKit'],['com.apple.chrono:widgetPowerlog'],No powerlog view entries to flush.
2026-06-22 19:00:20.091612+00:00,0x17b5325,Activity,0x22696c4,428,0,runningboardd: (RunningBoard) acquireAssertionWithDescriptor,runningboardd,['RunningBoard'],[],acquireAssertionWithDescriptor
2026-06-22 19:00:20.092140+00:00,0x17b5325,Default,0x22696c4,428,7,"runningboardd: (RunningBoard) [com.apple.runningboard:ttl] Acquiring assertion targeting [app<application.com.googlecode.iterm2.141849201.141849221(501)>:88596] from originator [osservice<com.apple.coreservices.launchservicesd>:387] with description <RBSAssertionDescriptor| ""frontmost:88596"" ID:428-387-312688 target:88596 attributes:[ <RBSDomainAttribute| domain:""com.apple.launchservicesd"" name:""RoleUserInteractiveFocal"" sourceEnvironment:""(null)""> ]>",runningboardd,"['RunningBoard', '501', 'null']","['com.apple.runningboard:ttl', 'app<application.com.googlecode.iterm2.141849201.141849221>:88596', 'osservice<com.apple.coreservices.launchservicesd>:387', ' <RBSDomainAttribute| domain:""com.apple.launchservicesd"" name:""RoleUserInteractiveFocal"" sourceEnvironment:""""> ']","Acquiring assertion targeting  from originator  with description <RBSAssertionDescriptor| ""frontmost:88596"" ID:428-387-312688 target:88596 attributes:>"
2026-06-22 19:00:20.092347+00:00,0x17b5325,Default,0x22696c4,428,7,runningboardd: (RunningBoard) [com.apple.runningboard:ttl] Assertion 428-387-312688 (target:[app<application.com.googlecode.iterm2.141849201.141849221(501)>:88596]) will be created as active,runningboardd,"['RunningBoard', 'target:[app<application.com.googlecode.iterm2.141849201.141849221(501']",['com.apple.runningboard:ttl'],Assertion 428-387-312688 >:88596]) will be created as active
2026-06-22 19:00:20.092881+00:00,0xdfe,Default,0x0,418,0,WindowServer: (SkyLight) [com.apple.SkyLight.processes:Focus] 49903[SetFrontProcess]: [DeferringManager] Updating policy { advicePolicy: .frontmost; frontmostProcess: 0x0-0x10ea0e9 (iTerm2) mainConnectionID: 119853; } for reason: updated frontmost process,WindowServer,"['SkyLight', 'iTerm2']","['com.apple.SkyLight.processes:Focus', 'SetFrontProcess', 'DeferringManager']",49903:  Updating policy { advicePolicy: .frontmost; frontmostProcess: 0x0-0x10ea0e9  mainConnectionID: 119853; } for reason: updated frontmost process
2026-06-22 19:00:20.092919+00:00,0xdfe,Default,0x0,418,0,WindowServer: (BaseBoard) [com.apple.BackBoard:EventDelivery] <BSCompoundAssertion:0xca8c194c0> (com.apple.backboard.hid.delivery.localDelivery.preventFlushing) acquire for reason:updated frontmost process <5986> acq:0xca69992a0 count:1,WindowServer,"['BaseBoard', 'com.apple.backboard.hid.delivery.localDelivery.preventFlushing']",['com.apple.BackBoard:EventDelivery'],<BSCompoundAssertion:0xca8c194c0>  acquire for reason:updated frontmost process <5986> acq:0xca69992a0 count:1
2026-06-22 19:00:20.093009+00:00,0xdfe,Default,0x0,418,0,WindowServer: (SkyLight) [com.apple.SkyLight.processes:Focus] 49903[SetFrontProcess]: [DeferringManager] Deferring events from frontmost process PSN 0x0-0x10ea0e9 (iTerm2) -> <pid: 88596>,WindowServer,"['SkyLight', 'iTerm2']","['com.apple.SkyLight.processes:Focus', 'SetFrontProcess', 'DeferringManager']",49903:  Deferring events from frontmost process PSN 0x0-0x10ea0e9  -> <pid: 88596>
2026-06-22 19:00:20.093030+00:00,0xdfe,Default,0x0,418,0,WindowServer: (BaseBoard) [com.apple.BackBoard:EventDelivery] <BSCompoundAssertion:0xca8c194c0> (com.apple.backboard.hid.delivery.localDelivery.preventFlushing) invalidate acq:0xca69992a0 count:1,WindowServer,"['BaseBoard', 'com.apple.backboard.hid.delivery.localDelivery.preventFlushing']",['com.apple.BackBoard:EventDelivery'],<BSCompoundAssertion:0xca8c194c0>  invalidate acq:0xca69992a0 count:1
2026-06-22 19:00:20.093071+00:00,0xdfe,Default,0x0,418,0,"WindowServer: (BackBoardHIDEventFoundation) [com.apple.BackBoard:EventDelivery] flushing changes: { contentsMask: 0x2; deferringRules: [[418-469B], [418-469C], [418-469D]]; }",WindowServer,['BackBoardHIDEventFoundation'],"['com.apple.BackBoard:EventDelivery', '[418-469B', '418-469C', '418-469D']","flushing changes: { contentsMask: 0x2; deferringRules: , , ]; }"
2026-06-22 19:00:20.093131+00:00,0xdfe,Default,0x0,418,0,"WindowServer: (BackBoardHIDEventFoundation) [com.apple.BackBoard:EventDelivery] new deferring rules for pid:418: [ [418-469D]; <keyboardFocus; iTerm2:0x0-0x10ea0e9>; () -> <pid: 88596>; reason: frontmost PSN --> outbound target, [418-469C]; <keyboardFocus; <frontmost>>; () -> <token: iTerm2:0x0-0x10ea0e9; pid: 418>; reason: frontmost PSN, [418-469B]; <keyboardFocus>; () -> <token: <frontmost>; pid: 418>; reason: Deferring to <frontmost> ]",WindowServer,"['BackBoardHIDEventFoundation', '', '', '']","['com.apple.BackBoard:EventDelivery', ' [418-469D', '418-469C', '418-469B']","new deferring rules for pid:418: ; <keyboardFocus; iTerm2:0x0-0x10ea0e9>;  -> <pid: 88596>; reason: frontmost PSN --> outbound target, ; <keyboardFocus; <frontmost>>;  -> <token: iTerm2:0x0-0x10ea0e9; pid: 418>; reason: frontmost PSN, ; <keyboardFocus>;  -> <token: <frontmost>; pid: 418>; reason: Deferring to <frontmost> ]"
